"monthseq"|"month"|"flodfreqcl"|"floddurcl"|"pondfreqcl"|"ponddurcl"|"ponddep_l"|"ponddep_r"|"ponddep_h"|"dlyavgprecip_l"|"dlyavgprecip_r"|"dlyavgprecip_h"|"dlyavgpotet_l"|"dlyavgpotet_r"|"dlyavgpotet_h"|"cokey"|"comonthkey"
6|"June"|"None"|""|"None"|""||||||||||24232108|253290994
7|"July"|"None"|""|"None"|""||||||||||24232108|253291003
8|"August"|"None"|""|"None"|""||||||||||24232108|253291000
9|"September"|"None"|""|"None"|""||||||||||24232108|253291005
10|"October"|"None"|""|"None"|""||||||||||24232108|253291001
11|"November"|"None"|""|"None"|""||||||||||24232108|253290997
12|"December"|"None"|""|"None"|""||||||||||24232108|253291002
1|"January"|"None"|""|"None"|""||||||||||24232109|253291008
2|"February"|"None"|""|"None"|""||||||||||24232109|253291017
3|"March"|"None"|""|"None"|""||||||||||24232109|253291009
4|"April"|"None"|""|"None"|""||||||||||24232109|253291006
5|"May"|"None"|""|"None"|""||||||||||24232109|253291013
6|"June"|"None"|""|"None"|""||||||||||24232109|253291007
7|"July"|"None"|""|"None"|""||||||||||24232109|253291014
8|"August"|"None"|""|"None"|""||||||||||24232109|253291010
9|"September"|"None"|""|"None"|""||||||||||24232109|253291012
10|"October"|"None"|""|"None"|""||||||||||24232109|253291011
11|"November"|"None"|""|"None"|""||||||||||24232109|253291016
12|"December"|"None"|""|"None"|""||||||||||24232109|253291015
1|"January"|"None"|""|"None"|""||||||||||24231955|253289162
3|"March"|"None"|""|"None"|""||||||||||24231955|253289165
2|"February"|"None"|""|"None"|""||||||||||24231955|253289161
5|"May"|"None"|""|"None"|""||||||||||24231955|253289166
4|"April"|"None"|""|"None"|""||||||||||24231955|253289158
7|"July"|"None"|""|"None"|""||||||||||24231955|253289163
6|"June"|"None"|""|"None"|""||||||||||24231955|253289164
9|"September"|"None"|""|"None"|""||||||||||24231955|253289169
8|"August"|"None"|""|"None"|""||||||||||24231955|253289159
11|"November"|"None"|""|"None"|""||||||||||24231955|253289167
10|"October"|"None"|""|"None"|""||||||||||24231955|253289168
12|"December"|"None"|""|"None"|""||||||||||24231955|253289160
1|"January"|"None"|""|"None"|""||||||||||24231956|253289174
3|"March"|"None"|""|"None"|""||||||||||24231956|253289177
2|"February"|"None"|""|"None"|""||||||||||24231956|253289173
5|"May"|"None"|""|"None"|""||||||||||24231956|253289178
4|"April"|"None"|""|"None"|""||||||||||24231956|253289170
7|"July"|"None"|""|"None"|""||||||||||24231956|253289175
6|"June"|"None"|""|"None"|""||||||||||24231956|253289176
9|"September"|"None"|""|"None"|""||||||||||24231956|253289181
8|"August"|"None"|""|"None"|""||||||||||24231956|253289171
11|"November"|"None"|""|"None"|""||||||||||24231956|253289179
10|"October"|"None"|""|"None"|""||||||||||24231956|253289180
12|"December"|"None"|""|"None"|""||||||||||24231956|253289172
1|"January"|"None"|""|"None"|""||||||||||24231957|253289192
3|"March"|"None"|""|"None"|""||||||||||24231957|253289183
2|"February"|"None"|""|"None"|""||||||||||24231957|253289191
5|"May"|"None"|""|"None"|""||||||||||24231957|253289184
4|"April"|"None"|""|"None"|""||||||||||24231957|253289188
6|"June"|"None"|""|"None"|""||||||||||24231957|253289182
7|"July"|"None"|""|"None"|""||||||||||24231957|253289193
8|"August"|"None"|""|"None"|""||||||||||24231957|253289189
9|"September"|"None"|""|"None"|""||||||||||24231957|253289187
11|"November"|"None"|""|"None"|""||||||||||24231957|253289185
10|"October"|"None"|""|"None"|""||||||||||24231957|253289186
12|"December"|"None"|""|"None"|""||||||||||24231957|253289190
1|"January"|"None"|""|"None"|""||||||||||24232418|253294716
2|"February"|"None"|""|"None"|""||||||||||24232418|253294722
4|"April"|"None"|""|"None"|""||||||||||24232418|253294723
3|"March"|"None"|""|"None"|""||||||||||24232418|253294715
5|"May"|"None"|""|"None"|""||||||||||24232418|253294717
6|"June"|"None"|""|"None"|""||||||||||24232418|253294724
7|"July"|"None"|""|"None"|""||||||||||24232418|253294720
8|"August"|"None"|""|"None"|""||||||||||24232418|253294725
9|"September"|"None"|""|"None"|""||||||||||24232418|253294718
10|"October"|"None"|""|"None"|""||||||||||24232418|253294714
11|"November"|"None"|""|"None"|""||||||||||24232418|253294721
12|"December"|"None"|""|"None"|""||||||||||24232418|253294719
1|"January"|"None"|""|"None"|""||||||||||24232419|253294735
2|"February"|"None"|""|"None"|""||||||||||24232419|253294732
4|"April"|"None"|""|"None"|""||||||||||24232419|253294730
3|"March"|"None"|""|"None"|""||||||||||24232419|253294733
5|"May"|"None"|""|"None"|""||||||||||24232419|253294728
6|"June"|"None"|""|"None"|""||||||||||24232419|253294736
7|"July"|"None"|""|"None"|""||||||||||24232419|253294727
8|"August"|"None"|""|"None"|""||||||||||24232419|253294734
9|"September"|"None"|""|"None"|""||||||||||24232419|253294729
10|"October"|"None"|""|"None"|""||||||||||24232419|253294737
11|"November"|"None"|""|"None"|""||||||||||24232419|253294731
12|"December"|"None"|""|"None"|""||||||||||24232419|253294726
1|"January"|"None"|""|"None"|""||||||||||24232420|253294742
2|"February"|"None"|""|"None"|""||||||||||24232420|253294744
4|"April"|"None"|""|"None"|""||||||||||24232420|253294743
3|"March"|"None"|""|"None"|""||||||||||24232420|253294749
5|"May"|"None"|""|"None"|""||||||||||24232420|253294745
6|"June"|"None"|""|"None"|""||||||||||24232420|253294748
7|"July"|"None"|""|"None"|""||||||||||24232420|253294740
8|"August"|"None"|""|"None"|""||||||||||24232420|253294738
9|"September"|"None"|""|"None"|""||||||||||24232420|253294747
10|"October"|"None"|""|"None"|""||||||||||24232420|253294741
11|"November"|"None"|""|"None"|""||||||||||24232420|253294739
12|"December"|"None"|""|"None"|""||||||||||24232420|253294746
12|"December"|"None"|""|""|""||||||||||24232421|253294757
11|"November"|"None"|""|""|""||||||||||24232421|253294760
10|"October"|"None"|""|""|""||||||||||24232421|253294753
9|"September"|"None"|""|""|""||||||||||24232421|253294755
8|"August"|"None"|""|""|""||||||||||24232421|253294751
7|"July"|"None"|""|""|""||||||||||24232421|253294756
6|"June"|"None"|""|""|""||||||||||24232421|253294761
5|"May"|"None"|""|""|""||||||||||24232421|253294754
4|"April"|"None"|""|""|""||||||||||24232421|253294759
3|"March"|"None"|""|""|""||||||||||24232421|253294752
2|"February"|"None"|""|""|""||||||||||24232421|253294758
1|"January"|"None"|""|""|""||||||||||24232421|253294750
3|"March"|"Frequent"|"Long (7 to 30 days)"|"None"|""||||||||||24232228|253292443
1|"January"|"Frequent"|"Long (7 to 30 days)"|"None"|""||||||||||24232228|253292441
2|"February"|"Frequent"|"Long (7 to 30 days)"|"None"|""||||||||||24232228|253292439
12|"December"|""|""|"None"|""||||||||||24232228|253292445
11|"November"|""|""|"None"|""||||||||||24232228|253292438
10|"October"|""|""|"None"|""||||||||||24232228|253292442
9|"September"|""|""|"None"|""||||||||||24232228|253292434
8|"August"|""|""|"None"|""||||||||||24232228|253292440
7|"July"|""|""|"None"|""||||||||||24232228|253292444
6|"June"|""|""|"None"|""||||||||||24232228|253292436
5|"May"|""|""|"None"|""||||||||||24232228|253292435
4|"April"|""|""|"None"|""||||||||||24232228|253292437
3|"March"|"Frequent"|"Long (7 to 30 days)"|"None"|""||||||||||24232229|253292448
1|"January"|"Frequent"|"Long (7 to 30 days)"|"None"|""||||||||||24232229|253292447
2|"February"|"Frequent"|"Long (7 to 30 days)"|"None"|""||||||||||24232229|253292453
11|"November"|""|""|"None"|""||||||||||24232229|253292457
12|"December"|""|""|"None"|""||||||||||24232229|253292454
9|"September"|""|""|"None"|""||||||||||24232229|253292455
10|"October"|""|""|"None"|""||||||||||24232229|253292449
8|"August"|""|""|"None"|""||||||||||24232229|253292446
7|"July"|""|""|"None"|""||||||||||24232229|253292451
6|"June"|""|""|"None"|""||||||||||24232229|253292456
5|"May"|""|""|"None"|""||||||||||24232229|253292450
4|"April"|""|""|"None"|""||||||||||24232229|253292452
2|"February"|""|""|""|""||||||||||24231791|253287205
3|"March"|""|""|""|""||||||||||24231791|253287209
1|"January"|""|""|""|""||||||||||24231791|253287206
4|"April"|""|""|""|""||||||||||24231791|253287202
5|"May"|""|""|""|""||||||||||24231791|253287210
6|"June"|""|""|""|""||||||||||24231791|253287208
7|"July"|""|""|""|""||||||||||24231791|253287207
8|"August"|""|""|""|""||||||||||24231791|253287203
9|"September"|""|""|""|""||||||||||24231791|253287213
10|"October"|""|""|""|""||||||||||24231791|253287212
11|"November"|""|""|""|""||||||||||24231791|253287211
12|"December"|""|""|""|""||||||||||24231791|253287204
1|"January"|"Frequent"|"Brief (2 to 7 days)"|"None"|""||||||||||24231792|253287218
2|"February"|"Frequent"|"Brief (2 to 7 days)"|"None"|""||||||||||24231792|253287217
3|"March"|"Frequent"|"Brief (2 to 7 days)"|"None"|""||||||||||24231792|253287221
12|"December"|""|""|"None"|""||||||||||24231792|253287216
11|"November"|""|""|"None"|""||||||||||24231792|253287223
10|"October"|""|""|"None"|""||||||||||24231792|253287224
9|"September"|""|""|"None"|""||||||||||24231792|253287225
8|"August"|""|""|"None"|""||||||||||24231792|253287215
6|"June"|""|""|"None"|""||||||||||24231792|253287220
7|"July"|""|""|"None"|""||||||||||24231792|253287219
5|"May"|""|""|"None"|""||||||||||24231792|253287222
4|"April"|""|""|"None"|""||||||||||24231792|253287214
10|"October"|"None"|""|""|""||||||||||24232422|253294767
9|"September"|"None"|""|""|""||||||||||24232422|253294769
8|"August"|"None"|""|""|""||||||||||24232422|253294766
7|"July"|"None"|""|""|""||||||||||24232422|253294771
1|"January"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24232422|253294762
2|"February"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24232422|253294764
3|"March"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24232422|253294768
4|"April"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24232422|253294773
5|"May"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24232422|253294772
6|"June"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24232422|253294763
12|"December"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24232422|253294770
11|"November"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24232422|253294765
1|"January"|"None"|""|"None"|""||||||||||24232423|253294780
2|"February"|"None"|""|"None"|""||||||||||24232423|253294781
3|"March"|"None"|""|"None"|""||||||||||24232423|253294782
4|"April"|"None"|""|"None"|""||||||||||24232423|253294783
5|"May"|"None"|""|"None"|""||||||||||24232423|253294784
6|"June"|"None"|""|"None"|""||||||||||24232423|253294785
7|"July"|"None"|""|"None"|""||||||||||24232423|253294774
8|"August"|"None"|""|"None"|""||||||||||24232423|253294775
9|"September"|"None"|""|"None"|""||||||||||24232423|253294776
10|"October"|"None"|""|"None"|""||||||||||24232423|253294777
12|"December"|"None"|""|"None"|""||||||||||24232423|253294779
11|"November"|"None"|""|"None"|""||||||||||24232423|253294778
1|"January"|"None"|""|"None"|""||||||||||24232356|253293974
2|"February"|"None"|""|"None"|""||||||||||24232356|253293973
4|"April"|"None"|""|"None"|""||||||||||24232356|253293970
3|"March"|"None"|""|"None"|""||||||||||24232356|253293977
5|"May"|"None"|""|"None"|""||||||||||24232356|253293978
6|"June"|"None"|""|"None"|""||||||||||24232356|253293976
8|"August"|"None"|""|"None"|""||||||||||24232356|253293971
7|"July"|"None"|""|"None"|""||||||||||24232356|253293975
9|"September"|"None"|""|"None"|""||||||||||24232356|253293981
10|"October"|"None"|""|"None"|""||||||||||24232356|253293980
11|"November"|"None"|""|"None"|""||||||||||24232356|253293979
12|"December"|"None"|""|"None"|""||||||||||24232356|253293972
1|"January"|"None"|""|"None"|""||||||||||24232357|253293986
2|"February"|"None"|""|"None"|""||||||||||24232357|253293985
4|"April"|"None"|""|"None"|""||||||||||24232357|253293982
3|"March"|"None"|""|"None"|""||||||||||24232357|253293989
5|"May"|"None"|""|"None"|""||||||||||24232357|253293990
6|"June"|"None"|""|"None"|""||||||||||24232357|253293988
8|"August"|"None"|""|"None"|""||||||||||24232357|253293983
7|"July"|"None"|""|"None"|""||||||||||24232357|253293987
9|"September"|"None"|""|"None"|""||||||||||24232357|253293993
10|"October"|"None"|""|"None"|""||||||||||24232357|253293992
11|"November"|"None"|""|"None"|""||||||||||24232357|253293991
12|"December"|"None"|""|"None"|""||||||||||24232357|253293984
1|"January"|"None"|""|"None"|""||||||||||24232358|253293998
2|"February"|"None"|""|"None"|""||||||||||24232358|253293997
4|"April"|"None"|""|"None"|""||||||||||24232358|253293994
3|"March"|"None"|""|"None"|""||||||||||24232358|253294001
5|"May"|"None"|""|"None"|""||||||||||24232358|253294002
6|"June"|"None"|""|"None"|""||||||||||24232358|253294000
8|"August"|"None"|""|"None"|""||||||||||24232358|253293995
7|"July"|"None"|""|"None"|""||||||||||24232358|253293999
9|"September"|"None"|""|"None"|""||||||||||24232358|253294005
10|"October"|"None"|""|"None"|""||||||||||24232358|253294004
11|"November"|"None"|""|"None"|""||||||||||24232358|253294003
12|"December"|"None"|""|"None"|""||||||||||24232358|253293996
2|"February"|"None"|""|"None"|""||||||||||24231936|253288931
1|"January"|"None"|""|"None"|""||||||||||24231936|253288930
3|"March"|"None"|""|"None"|""||||||||||24231936|253288932
4|"April"|"None"|""|"None"|""||||||||||24231936|253288933
5|"May"|"None"|""|"None"|""||||||||||24231936|253288934
6|"June"|"None"|""|"None"|""||||||||||24231936|253288935
7|"July"|"None"|""|"None"|""||||||||||24231936|253288936
9|"September"|"None"|""|"None"|""||||||||||24231936|253288938
8|"August"|"None"|""|"None"|""||||||||||24231936|253288937
10|"October"|"None"|""|"None"|""||||||||||24231936|253288939
11|"November"|"None"|""|"None"|""||||||||||24231936|253288940
12|"December"|"None"|""|"None"|""||||||||||24231936|253288941
10|"October"|"None"|""|""|""||||||||||24231937|253288952
9|"September"|"None"|""|""|""||||||||||24231937|253288953
8|"August"|"None"|""|""|""||||||||||24231937|253288943
7|"July"|"None"|""|""|""||||||||||24231937|253288947
1|"January"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24231937|253288946
2|"February"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24231937|253288945
3|"March"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24231937|253288949
5|"May"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24231937|253288950
4|"April"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24231937|253288942
6|"June"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24231937|253288948
11|"November"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24231937|253288951
12|"December"|"None"|""|"Frequent"|"Long (7 to 30 days)"|0|7|15|||||||24231937|253288944
1|"January"|"None"|""|"None"|""||||||||||24231938|253288958
3|"March"|"None"|""|"None"|""||||||||||24231938|253288961
2|"February"|"None"|""|"None"|""||||||||||24231938|253288957
4|"April"|"None"|""|"None"|""||||||||||24231938|253288954
5|"May"|"None"|""|"None"|""||||||||||24231938|253288962
6|"June"|"None"|""|"None"|""||||||||||24231938|253288960
7|"July"|"None"|""|"None"|""||||||||||24231938|253288959
9|"September"|"None"|""|"None"|""||||||||||24231938|253288965
8|"August"|"None"|""|"None"|""||||||||||24231938|253288955
11|"November"|"None"|""|"None"|""||||||||||24231938|253288963
10|"October"|"None"|""|"None"|""||||||||||24231938|253288964
12|"December"|"None"|""|"None"|""||||||||||24231938|253288956
1|"January"|"None"|""|"None"|""||||||||||24232230|253292458
2|"February"|"None"|""|"None"|""||||||||||24232230|253292468
3|"March"|"None"|""|"None"|""||||||||||24232230|253292461
4|"April"|"None"|""|"None"|""||||||||||24232230|253292469
5|"May"|"None"|""|"None"|""||||||||||24232230|253292464
6|"June"|"None"|""|"None"|""||||||||||24232230|253292460
7|"July"|"None"|""|"None"|""||||||||||24232230|253292467
8|"August"|"None"|""|"None"|""||||||||||24232230|253292463
9|"September"|"None"|""|"None"|""||||||||||24232230|253292465
10|"October"|"None"|""|"None"|""||||||||||24232230|253292462
11|"November"|"None"|""|"None"|""||||||||||24232230|253292459
12|"December"|"None"|""|"None"|""||||||||||24232230|253292466
1|"January"|"None"|""|"None"|""||||||||||24232231|253292471
2|"February"|"None"|""|"None"|""||||||||||24232231|253292473
3|"March"|"None"|""|"None"|""||||||||||24232231|253292476
4|"April"|"None"|""|"None"|""||||||||||24232231|253292470
5|"May"|"None"|""|"None"|""||||||||||24232231|253292475
6|"June"|"None"|""|"None"|""||||||||||24232231|253292481
7|"July"|"None"|""|"None"|""||||||||||24232231|253292472
8|"August"|"None"|""|"None"|""||||||||||24232231|253292479
9|"September"|"None"|""|"None"|""||||||||||24232231|253292477
10|"October"|"None"|""|"None"|""||||||||||24232231|253292474
11|"November"|"None"|""|"None"|""||||||||||24232231|253292480
12|"December"|"None"|""|"None"|""||||||||||24232231|253292478
1|"January"|"None"|""|"None"|""||||||||||24232273|253292980
2|"February"|"None"|""|"None"|""||||||||||24232273|253292975
4|"April"|"None"|""|"None"|""||||||||||24232273|253292976
3|"March"|"None"|""|"None"|""||||||||||24232273|253292979
5|"May"|"None"|""|"None"|""||||||||||24232273|253292984
6|"June"|"None"|""|"None"|""||||||||||24232273|253292974
7|"July"|"None"|""|"None"|""||||||||||24232273|253292985
8|"August"|"None"|""|"None"|""||||||||||24232273|253292978
9|"September"|"None"|""|"None"|""||||||||||24232273|253292983
10|"October"|"None"|""|"None"|""||||||||||24232273|253292981
11|"November"|"None"|""|"None"|""||||||||||24232273|253292977
12|"December"|"None"|""|"None"|""||||||||||24232273|253292982
1|"January"|"None"|""|"None"|""||||||||||24232274|253292986
2|"February"|"None"|""|"None"|""||||||||||24232274|253292988
4|"April"|"None"|""|"None"|""||||||||||24232274|253292991
3|"March"|"None"|""|"None"|""||||||||||24232274|253292997
5|"May"|"None"|""|"None"|""||||||||||24232274|253292995
6|"June"|"None"|""|"None"|""||||||||||24232274|253292989
7|"July"|"None"|""|"None"|""||||||||||24232274|253292996
8|"August"|"None"|""|"None"|""||||||||||24232274|253292990
9|"September"|"None"|""|"None"|""||||||||||24232274|253292994
10|"October"|"None"|""|"None"|""||||||||||24232274|253292987
11|"November"|"None"|""|"None"|""||||||||||24232274|253292992
12|"December"|"None"|""|"None"|""||||||||||24232274|253292993
1|"January"|"None"|""|"None"|""||||||||||24232275|253292998
2|"February"|"None"|""|"None"|""||||||||||24232275|253293000
4|"April"|"None"|""|"None"|""||||||||||24232275|253293003
3|"March"|"None"|""|"None"|""||||||||||24232275|253293009
5|"May"|"None"|""|"None"|""||||||||||24232275|253293007
6|"June"|"None"|""|"None"|""||||||||||24232275|253293001
7|"July"|"None"|""|"None"|""||||||||||24232275|253293008
8|"August"|"None"|""|"None"|""||||||||||24232275|253293002
9|"September"|"None"|""|"None"|""||||||||||24232275|253293006
10|"October"|"None"|""|"None"|""||||||||||24232275|253292999
11|"November"|"None"|""|"None"|""||||||||||24232275|253293004
12|"December"|"None"|""|"None"|""||||||||||24232275|253293005
1|"January"|"None"|""|"None"|""||||||||||24232279|253293056
2|"February"|"None"|""|"None"|""||||||||||24232279|253293053
4|"April"|"None"|""|"None"|""||||||||||24232279|253293047
3|"March"|"None"|""|"None"|""||||||||||24232279|253293057
5|"May"|"None"|""|"None"|""||||||||||24232279|253293050
6|"June"|"None"|""|"None"|""||||||||||24232279|253293051
7|"July"|"None"|""|"None"|""||||||||||24232279|253293048
8|"August"|"None"|""|"None"|""||||||||||24232279|253293055
9|"September"|"None"|""|"None"|""||||||||||24232279|253293046
10|"October"|"None"|""|"None"|""||||||||||24232279|253293054
11|"November"|"None"|""|"None"|""||||||||||24232279|253293052
12|"December"|"None"|""|"None"|""||||||||||24232279|253293049
1|"January"|"None"|""|"None"|""||||||||||24232280|253293058
2|"February"|"None"|""|"None"|""||||||||||24232280|253293060
4|"April"|"None"|""|"None"|""||||||||||24232280|253293063
3|"March"|"None"|""|"None"|""||||||||||24232280|253293069
5|"May"|"None"|""|"None"|""||||||||||24232280|253293067
6|"June"|"None"|""|"None"|""||||||||||24232280|253293061
7|"July"|"None"|""|"None"|""||||||||||24232280|253293068
8|"August"|"None"|""|"None"|""||||||||||24232280|253293062
9|"September"|"None"|""|"None"|""||||||||||24232280|253293066
10|"October"|"None"|""|"None"|""||||||||||24232280|253293059
11|"November"|"None"|""|"None"|""||||||||||24232280|253293064
12|"December"|"None"|""|"None"|""||||||||||24232280|253293065
1|"January"|"None"|""|"None"|""||||||||||24232281|253293070
2|"February"|"None"|""|"None"|""||||||||||24232281|253293072
4|"April"|"None"|""|"None"|""||||||||||24232281|253293075
3|"March"|"None"|""|"None"|""||||||||||24232281|253293081
5|"May"|"None"|""|"None"|""||||||||||24232281|253293079
6|"June"|"None"|""|"None"|""||||||||||24232281|253293073
7|"July"|"None"|""|"None"|""||||||||||24232281|253293080
8|"August"|"None"|""|"None"|""||||||||||24232281|253293074
9|"September"|"None"|""|"None"|""||||||||||24232281|253293078
10|"October"|"None"|""|"None"|""||||||||||24232281|253293071
11|"November"|"None"|""|"None"|""||||||||||24232281|253293076
12|"December"|"None"|""|"None"|""||||||||||24232281|253293077
1|"January"|"None"|""|"None"|""||||||||||24232241|253292600
2|"February"|"None"|""|"None"|""||||||||||24232241|253292595
3|"March"|"None"|""|"None"|""||||||||||24232241|253292601
4|"April"|"None"|""|"None"|""||||||||||24232241|253292597
5|"May"|"None"|""|"None"|""||||||||||24232241|253292594
7|"July"|"None"|""|"None"|""||||||||||24232241|253292593
6|"June"|"None"|""|"None"|""||||||||||24232241|253292596
8|"August"|"None"|""|"None"|""||||||||||24232241|253292599
9|"September"|"None"|""|"None"|""||||||||||24232241|253292591
10|"October"|"None"|""|"None"|""||||||||||24232241|253292590
11|"November"|"None"|""|"None"|""||||||||||24232241|253292598
12|"December"|"None"|""|"None"|""||||||||||24232241|253292592
1|"January"|"None"|""|"None"|""||||||||||24232242|253292602
2|"February"|"None"|""|"None"|""||||||||||24232242|253292604
3|"March"|"None"|""|"None"|""||||||||||24232242|253292613
4|"April"|"None"|""|"None"|""||||||||||24232242|253292607
5|"May"|"None"|""|"None"|""||||||||||24232242|253292611
7|"July"|"None"|""|"None"|""||||||||||24232242|253292612
6|"June"|"None"|""|"None"|""||||||||||24232242|253292605
8|"August"|"None"|""|"None"|""||||||||||24232242|253292606
9|"September"|"None"|""|"None"|""||||||||||24232242|253292610
10|"October"|"None"|""|"None"|""||||||||||24232242|253292603
11|"November"|"None"|""|"None"|""||||||||||24232242|253292608
12|"December"|"None"|""|"None"|""||||||||||24232242|253292609
1|"January"|"None"|""|"None"|""||||||||||24232243|253292614
2|"February"|"None"|""|"None"|""||||||||||24232243|253292616
3|"March"|"None"|""|"None"|""||||||||||24232243|253292625
5|"May"|"None"|""|"None"|""||||||||||24232243|253292623
4|"April"|"None"|""|"None"|""||||||||||24232243|253292619
6|"June"|"None"|""|"None"|""||||||||||24232243|253292617
7|"July"|"None"|""|"None"|""||||||||||24232243|253292624
8|"August"|"None"|""|"None"|""||||||||||24232243|253292618
9|"September"|"None"|""|"None"|""||||||||||24232243|253292622
10|"October"|"None"|""|"None"|""||||||||||24232243|253292615
11|"November"|"None"|""|"None"|""||||||||||24232243|253292620
12|"December"|"None"|""|"None"|""||||||||||24232243|253292621
1|"January"|"None"|""|"None"|""||||||||||24232429|253294847
2|"February"|"None"|""|"None"|""||||||||||24232429|253294853
3|"March"|"None"|""|"None"|""||||||||||24232429|253294848
4|"April"|"None"|""|"None"|""||||||||||24232429|253294856
5|"May"|"None"|""|"None"|""||||||||||24232429|253294850
6|"June"|"None"|""|"None"|""||||||||||24232429|253294857
7|"July"|"None"|""|"None"|""||||||||||24232429|253294851
8|"August"|"None"|""|"None"|""||||||||||24232429|253294849
9|"September"|"None"|""|"None"|""||||||||||24232429|253294855
10|"October"|"None"|""|"None"|""||||||||||24232429|253294846
11|"November"|"None"|""|"None"|""||||||||||24232429|253294854
12|"December"|"None"|""|"None"|""||||||||||24232429|253294852
1|"January"|"None"|""|"None"|""||||||||||24232430|253294858
2|"February"|"None"|""|"None"|""||||||||||24232430|253294860
3|"March"|"None"|""|"None"|""||||||||||24232430|253294869
4|"April"|"None"|""|"None"|""||||||||||24232430|253294863
5|"May"|"None"|""|"None"|""||||||||||24232430|253294867
6|"June"|"None"|""|"None"|""||||||||||24232430|253294861
7|"July"|"None"|""|"None"|""||||||||||24232430|253294868
8|"August"|"None"|""|"None"|""||||||||||24232430|253294862
9|"September"|"None"|""|"None"|""||||||||||24232430|253294866
10|"October"|"None"|""|"None"|""||||||||||24232430|253294859
11|"November"|"None"|""|"None"|""||||||||||24232430|253294864
12|"December"|"None"|""|"None"|""||||||||||24232430|253294865
1|"January"|"None"|""|"None"|""||||||||||24232431|253294870
2|"February"|"None"|""|"None"|""||||||||||24232431|253294872
3|"March"|"None"|""|"None"|""||||||||||24232431|253294881
4|"April"|"None"|""|"None"|""||||||||||24232431|253294875
6|"June"|"None"|""|"None"|""||||||||||24232431|253294873
5|"May"|"None"|""|"None"|""||||||||||24232431|253294879
8|"August"|"None"|""|"None"|""||||||||||24232431|253294874
7|"July"|"None"|""|"None"|""||||||||||24232431|253294880
10|"October"|"None"|""|"None"|""||||||||||24232431|253294871
9|"September"|"None"|""|"None"|""||||||||||24232431|253294878
11|"November"|"None"|""|"None"|""||||||||||24232431|253294876
12|"December"|"None"|""|"None"|""||||||||||24232431|253294877
1|"January"|"None"|""|"None"|""||||||||||24232276|253293012
2|"February"|"None"|""|"None"|""||||||||||24232276|253293019
4|"April"|"None"|""|"None"|""||||||||||24232276|253293021
3|"March"|"None"|""|"None"|""||||||||||24232276|253293014
5|"May"|"None"|""|"None"|""||||||||||24232276|253293016
6|"June"|"None"|""|"None"|""||||||||||24232276|253293020
7|"July"|"None"|""|"None"|""||||||||||24232276|253293018
8|"August"|"None"|""|"None"|""||||||||||24232276|253293011
9|"September"|"None"|""|"None"|""||||||||||24232276|253293017
10|"October"|"None"|""|"None"|""||||||||||24232276|253293013
11|"November"|"None"|""|"None"|""||||||||||24232276|253293010
12|"December"|"None"|""|"None"|""||||||||||24232276|253293015
1|"January"|"None"|""|"None"|""||||||||||24232277|253293022
2|"February"|"None"|""|"None"|""||||||||||24232277|253293024
4|"April"|"None"|""|"None"|""||||||||||24232277|253293027
3|"March"|"None"|""|"None"|""||||||||||24232277|253293033
5|"May"|"None"|""|"None"|""||||||||||24232277|253293031
6|"June"|"None"|""|"None"|""||||||||||24232277|253293025
7|"July"|"None"|""|"None"|""||||||||||24232277|253293032
8|"August"|"None"|""|"None"|""||||||||||24232277|253293026
9|"September"|"None"|""|"None"|""||||||||||24232277|253293030
10|"October"|"None"|""|"None"|""||||||||||24232277|253293023
11|"November"|"None"|""|"None"|""||||||||||24232277|253293028
12|"December"|"None"|""|"None"|""||||||||||24232277|253293029
1|"January"|"None"|""|"None"|""||||||||||24232278|253293034
2|"February"|"None"|""|"None"|""||||||||||24232278|253293036
4|"April"|"None"|""|"None"|""||||||||||24232278|253293039
3|"March"|"None"|""|"None"|""||||||||||24232278|253293045
5|"May"|"None"|""|"None"|""||||||||||24232278|253293043
6|"June"|"None"|""|"None"|""||||||||||24232278|253293037
7|"July"|"None"|""|"None"|""||||||||||24232278|253293044
8|"August"|"None"|""|"None"|""||||||||||24232278|253293038
9|"September"|"None"|""|"None"|""||||||||||24232278|253293042
10|"October"|"None"|""|"None"|""||||||||||24232278|253293035
11|"November"|"None"|""|"None"|""||||||||||24232278|253293040
