"texture"|"stratextsflag"|"rvindicator"|"texdesc"|"chkey"|"chtgkey"
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025080|145640672
"VFSL"|"No "|"No "|"Very fine sandy loam"|72025080|145640673
"L"|"No "|"No "|"Loam"|72025080|145640674
"FSL"|"No "|"No "|"Fine sandy loam"|72025082|145640676
"L"|"No "|"No "|"Loam"|72025082|145640677
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025082|145640678
"L"|"No "|"No "|"Loam"|72025083|145640679
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025083|145640680
"CL"|"No "|"No "|"Clay loam"|72025083|145640681
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025081|145640675
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025084|145640682
"SCL"|"No "|"No "|"Sandy clay loam"|72025087|145640688
"L"|"No "|"Yes"|"Loam"|72025087|145640689
"VFSL"|"No "|"No "|"Very fine sandy loam"|72025085|145640683
"L"|"No "|"No "|"Loam"|72025085|145640684
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025085|145640685
"FSL"|"No "|"No "|"Fine sandy loam"|72025086|145640686
"L"|"No "|"Yes"|"Loam"|72025086|145640687
"FS"|"No "|"No "|"Fine sand"|72025089|145640692
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025089|145640693
"FSL"|"No "|"No "|"Fine sandy loam"|72025089|145640694
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025090|145640695
"FS"|"No "|"No "|"Fine sand"|72025090|145640696
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025088|145640690
"FS"|"No "|"No "|"Fine sand"|72025088|145640691
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024341|145639158
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024343|145639162
"FS"|"No "|"No "|"Fine sand"|72024343|145639163
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024342|145639159
"FSL"|"No "|"No "|"Fine sandy loam"|72024342|145639160
"FS"|"No "|"No "|"Fine sand"|72024342|145639161
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024344|145639164
"FS"|"No "|"No "|"Fine sand"|72024344|145639165
"FSL"|"No "|"No "|"Fine sandy loam"|72024344|145639166
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024691|145639860
"CL"|"No "|"No "|"Clay loam"|72024691|145639861
"FSL"|"No "|"No "|"Fine sandy loam"|72024691|145639862
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024694|145639869
"CL"|"No "|"No "|"Clay loam"|72024694|145639870
"FSL"|"No "|"No "|"Fine sandy loam"|72024694|145639871
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024692|145639863
"CL"|"No "|"No "|"Clay loam"|72024692|145639864
"FSL"|"No "|"No "|"Fine sandy loam"|72024692|145639865
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024693|145639866
"CL"|"No "|"No "|"Clay loam"|72024693|145639867
"FSL"|"No "|"No "|"Fine sandy loam"|72024693|145639868
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024689|145639858
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024690|145639859
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025008|145640502
"FSL"|"No "|"No "|"Fine sandy loam"|72025008|145640503
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025006|145640498
"FSL"|"No "|"No "|"Fine sandy loam"|72025006|145640499
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025007|145640500
"FSL"|"No "|"No "|"Fine sandy loam"|72025007|145640501
"CL"|"No "|"Yes"|"Clay loam"|72025102|145640725
"CL"|"No "|"No "|"Clay loam"|72025103|145640726
"SCL"|"No "|"No "|"Sandy clay loam"|72025103|145640727
"C"|"No "|"Yes"|"Clay"|72025103|145640728
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025178|145640894
"SC"|"No "|"No "|"Sandy clay"|72025180|145640898
"SCL"|"No "|"No "|"Sandy clay loam"|72025180|145640899
"C"|"No "|"Yes"|"Clay"|72025180|145640900
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025181|145640901
"CL"|"No "|"No "|"Clay loam"|72025179|145640895
"SCL"|"No "|"No "|"Sandy clay loam"|72025179|145640896
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025179|145640897
"C"|"No "|"Yes"|"Clay"|72024967|145640436
"SCL"|"No "|"No "|"Sandy clay loam"|72024967|145640437
"SC"|"No "|"No "|"Sandy clay"|72024967|145640438
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024965|145640432
"GR-FSL"|"No "|"Yes"|"Gravelly fine sandy loam"|72024968|145640439
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024966|145640433
"CL"|"No "|"No "|"Clay loam"|72024966|145640434
"SCL"|"No "|"No "|"Sandy clay loam"|72024966|145640435
"ST-FSL"|"No "|"Yes"|"Stony fine sandy loam"|72024972|145640446
"SCL"|"No "|"No "|"Sandy clay loam"|72024970|145640441
"FSL"|"No "|"No "|"Fine sandy loam"|72024970|145640442
"CL"|"No "|"Yes"|"Clay loam"|72024970|145640443
"C"|"No "|"Yes"|"Clay"|72024971|145640444
"SCL"|"No "|"No "|"Sandy clay loam"|72024971|145640445
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024969|145640440
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025124|145640786
"FS"|"No "|"No "|"Fine sand"|72025124|145640787
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025126|145640790
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025125|145640788
"FSL"|"No "|"No "|"Fine sandy loam"|72025125|145640789
"SC"|"No "|"No "|"Sandy clay"|72024731|145639958
"CL"|"No "|"No "|"Clay loam"|72024731|145639959
"C"|"No "|"Yes"|"Clay"|72024731|145639960
"SCL"|"No "|"No "|"Sandy clay loam"|72024727|145639950
"L"|"No "|"No "|"Loam"|72024727|145639951
"CL"|"No "|"Yes"|"Clay loam"|72024727|145639952
"CL"|"No "|"Yes"|"Clay loam"|72024728|145639953
"SR- C"|"Yes"|"Yes"|"Stratified clay"|72024729|145639954
"SCL"|"No "|"No "|"Sandy clay loam"|72024730|145639955
"L"|"No "|"No "|"Loam"|72024730|145639956
"CL"|"No "|"Yes"|"Clay loam"|72024730|145639957
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024904|145640311
"FSL"|"No "|"No "|"Fine sandy loam"|72024904|145640312
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024905|145640313
"FSL"|"No "|"No "|"Fine sandy loam"|72024905|145640314
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024902|145640308
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024903|145640309
"FS"|"No "|"No "|"Fine sand"|72024903|145640310
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024973|145640447
"FS"|"No "|"No "|"Fine sand"|72024973|145640448
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024974|145640449
"FSL"|"No "|"No "|"Fine sandy loam"|72024975|145640450
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024975|145640451
"FSL"|"No "|"No "|"Fine sandy loam"|72024976|145640452
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024976|145640453
"VAR"|"No "|"Yes"|"Variable"|72024977|145640454
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024978|145640455
"FS"|"No "|"No "|"Fine sand"|72024978|145640456
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024979|145640457
"FSL"|"No "|"No "|"Fine sandy loam"|72024980|145640458
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024980|145640459
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024981|145640460
"FSL"|"No "|"No "|"Fine sandy loam"|72024981|145640461
"VAR"|"No "|"Yes"|"Variable"|72024982|145640462
"CL"|"No "|"No "|"Clay loam"|72024964|145640430
"C"|"No "|"Yes"|"Clay"|72024964|145640431
"C"|"No "|"Yes"|"Clay"|72024962|145640428
"C"|"No "|"Yes"|"Clay"|72024963|145640429
"L"|"No "|"Yes"|"Loam"|72024960|145640426
"L"|"No "|"Yes"|"Loam"|72024961|145640427
"C"|"No "|"Yes"|"Clay"|72025182|145640902
"CL"|"No "|"No "|"Clay loam"|72025182|145640903
"C"|"No "|"Yes"|"Clay"|72025183|145640904
"C"|"No "|"Yes"|"Clay"|72025184|145640905
"L"|"No "|"Yes"|"Loam"|72025185|145640906
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024984|145640466
"L"|"No "|"No "|"Loam"|72024984|145640467
"FSL"|"No "|"No "|"Fine sandy loam"|72024984|145640468
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024983|145640463
"CL"|"No "|"No "|"Clay loam"|72024983|145640464
"L"|"No "|"No "|"Loam"|72024983|145640465
"L"|"No "|"Yes"|"Loam"|72024985|145640469
"VAR"|"No "|"Yes"|"Variable"|72024936|145640389
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024937|145640390
"L"|"No "|"No "|"Loam"|72024937|145640391
"CL"|"No "|"No "|"Clay loam"|72024937|145640392
"FSL"|"No "|"No "|"Fine sandy loam"|72024938|145640393
"L"|"No "|"No "|"Loam"|72024938|145640394
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024938|145640395
"L"|"No "|"Yes"|"Loam"|72024939|145640396
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024698|145639879
"CL"|"No "|"Yes"|"Clay loam"|72024696|145639875
"SCL"|"No "|"No "|"Sandy clay loam"|72024696|145639876
"C"|"No "|"No "|"Clay"|72024696|145639877
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024699|145639880
"C"|"No "|"Yes"|"Clay"|72024695|145639872
"CL"|"No "|"No "|"Clay loam"|72024695|145639873
"SC"|"No "|"No "|"Sandy clay"|72024695|145639874
"CL"|"No "|"Yes"|"Clay loam"|72024697|145639878
"SC"|"No "|"No "|"Sandy clay"|72025188|145640911
"CL"|"No "|"No "|"Clay loam"|72025188|145640912
"C"|"No "|"Yes"|"Clay"|72025188|145640913
"CL"|"No "|"Yes"|"Clay loam"|72025186|145640907
"SCL"|"No "|"No "|"Sandy clay loam"|72025187|145640908
"CL"|"No "|"Yes"|"Clay loam"|72025187|145640909
"C"|"No "|"No "|"Clay"|72025187|145640910
"GR-FSL"|"No "|"Yes"|"Gravelly fine sandy loam"|72025189|145640914
"CL"|"No "|"Yes"|"Clay loam"|72024516|145639528
"L"|"No "|"No "|"Loam"|72024516|145639529
"SCL"|"No "|"No "|"Sandy clay loam"|72024516|145639530
"C"|"No "|"Yes"|"Clay"|72024519|145639537
"CL"|"No "|"Yes"|"Clay loam"|72024515|145639527
"CL"|"No "|"Yes"|"Clay loam"|72024517|145639531
"SC"|"No "|"No "|"Sandy clay"|72024517|145639532
"C"|"No "|"No "|"Clay"|72024517|145639533
"CL"|"No "|"Yes"|"Clay loam"|72024518|145639534
"L"|"No "|"No "|"Loam"|72024518|145639535
"SCL"|"No "|"No "|"Sandy clay loam"|72024518|145639536
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024747|145639994
"CL"|"No "|"Yes"|"Clay loam"|72024745|145639988
"SCL"|"No "|"No "|"Sandy clay loam"|72024745|145639989
"C"|"No "|"No "|"Clay"|72024745|145639990
"C"|"No "|"Yes"|"Clay"|72024746|145639991
"SC"|"No "|"No "|"Sandy clay"|72024746|145639992
"CL"|"No "|"No "|"Clay loam"|72024746|145639993
"CL"|"No "|"Yes"|"Clay loam"|72024744|145639987
"VAR"|"No "|"Yes"|"Variable"|72024748|145639995
"C"|"No "|"Yes"|"Clay"|72024742|145639983
"SC"|"No "|"No "|"Sandy clay"|72024742|145639984
"CL"|"No "|"No "|"Clay loam"|72024742|145639985
"CL"|"No "|"Yes"|"Clay loam"|72024740|145639981
"CL"|"No "|"Yes"|"Clay loam"|72024741|145639982
"GR-FSL"|"No "|"Yes"|"Gravelly fine sandy loam"|72024743|145639986
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024723|145639942
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024724|145639943
"L"|"No "|"No "|"Loam"|72024724|145639944
"CL"|"No "|"No "|"Clay loam"|72024724|145639945
"C"|"No "|"Yes"|"Clay"|72024725|145639946
"SC"|"No "|"No "|"Sandy clay"|72024725|145639947
"C"|"No "|"Yes"|"Clay"|72024726|145639948
"SC"|"No "|"No "|"Sandy clay"|72024726|145639949
"CL"|"No "|"Yes"|"Clay loam"|72025019|145640536
"C"|"No "|"Yes"|"Clay"|72025021|145640538
"SIC"|"No "|"No "|"Silty clay"|72025021|145640539
"C"|"No "|"Yes"|"Clay"|72025020|145640537
"CL"|"No "|"Yes"|"Clay loam"|72024751|145639999
"C"|"No "|"Yes"|"Clay"|72024749|145639996
"C"|"No "|"Yes"|"Clay"|72024750|145639997
"SIC"|"No "|"No "|"Silty clay"|72024750|145639998
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024520|145639538
"FSL"|"No "|"No "|"Fine sandy loam"|72024520|145639539
"CL"|"No "|"No "|"Clay loam"|72024520|145639540
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024521|145639541
"FSL"|"No "|"No "|"Fine sandy loam"|72024521|145639542
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024522|145639543
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024523|145639544
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025191|145640916
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025192|145640917
"FSL"|"No "|"No "|"Fine sandy loam"|72025192|145640918
"CL"|"No "|"No "|"Clay loam"|72025192|145640919
"FSL"|"No "|"No "|"Fine sandy loam"|72025193|145640920
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025193|145640921
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025190|145640915
"VAR"|"No "|"Yes"|"Variable"|72025194|145640922
"SCL"|"No "|"No "|"Sandy clay loam"|72024940|145640397
"CL"|"No "|"Yes"|"Clay loam"|72024940|145640398
"L"|"No "|"No "|"Loam"|72024940|145640399
"CL"|"No "|"Yes"|"Clay loam"|72024941|145640400
"SICL"|"No "|"No "|"Silty clay loam"|72024273|145638992
"SC"|"No "|"Yes"|"Sandy clay"|72024273|145638993
"L"|"No "|"No "|"Loam"|72024273|145638994
"SICL"|"No "|"No "|"Silty clay loam"|72024274|145638995
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024274|145638996
"L"|"No "|"No "|"Loam"|72024274|145638997
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024275|145638998
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025195|145640923
"LFS"|"No "|"No "|"Loamy fine sand"|72025195|145640924
"L"|"No "|"Yes"|"Loam"|72025197|145640928
"L"|"No "|"No "|"Loam"|72025196|145640925
"SCL"|"No "|"No "|"Sandy clay loam"|72025196|145640926
"CL"|"No "|"Yes"|"Clay loam"|72025196|145640927
"L"|"No "|"No "|"Loam"|72025108|145640734
"SCL"|"No "|"No "|"Sandy clay loam"|72025108|145640735
"CL"|"No "|"Yes"|"Clay loam"|72025108|145640736
"C"|"No "|"Yes"|"Clay"|72025111|145640743
"CL"|"No "|"Yes"|"Clay loam"|72025109|145640737
"SC"|"No "|"No "|"Sandy clay"|72025109|145640738
"C"|"No "|"No "|"Clay"|72025109|145640739
"L"|"No "|"No "|"Loam"|72025110|145640740
"SCL"|"No "|"No "|"Sandy clay loam"|72025110|145640741
"CL"|"No "|"Yes"|"Clay loam"|72025110|145640742
"CL"|"No "|"Yes"|"Clay loam"|72025107|145640733
"L"|"No "|"Yes"|"Loam"|72024492|145639475
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024495|145639482
"LFS"|"No "|"No "|"Loamy fine sand"|72024495|145639483
"L"|"No "|"Yes"|"Loam"|72024496|145639484
"CL"|"No "|"Yes"|"Clay loam"|72024493|145639476
"SCL"|"No "|"No "|"Sandy clay loam"|72024493|145639477
"L"|"No "|"No "|"Loam"|72024493|145639478
"L"|"No "|"Yes"|"Loam"|72024494|145639479
"CL"|"No "|"No "|"Clay loam"|72024494|145639480
"SCL"|"No "|"No "|"Sandy clay loam"|72024494|145639481
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024497|145639485
"L"|"No "|"Yes"|"Loam"|72024500|145639491
"SCL"|"No "|"No "|"Sandy clay loam"|72024500|145639492
"L"|"No "|"Yes"|"Loam"|72024498|145639486
"FSL"|"No "|"No "|"Fine sandy loam"|72024498|145639487
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024499|145639488
"VFSL"|"No "|"No "|"Very fine sandy loam"|72024499|145639489
"L"|"No "|"No "|"Loam"|72024499|145639490
"C"|"No "|"Yes"|"Clay"|72024944|145640404
"C"|"No "|"Yes"|"Clay"|72024942|145640401
"SIC"|"No "|"No "|"Silty clay"|72024943|145640402
"C"|"No "|"Yes"|"Clay"|72024943|145640403
"C"|"No "|"Yes"|"Clay"|72024998|145640488
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024999|145640489
"CL"|"No "|"No "|"Clay loam"|72024997|145640486
"C"|"No "|"Yes"|"Clay"|72024997|145640487
"C"|"No "|"Yes"|"Clay"|72025003|145640494
"CL"|"No "|"No "|"Clay loam"|72025003|145640495
"C"|"No "|"Yes"|"Clay"|72025004|145640496
"GR-FSL"|"No "|"Yes"|"Gravelly fine sandy loam"|72025005|145640497
"C"|"No "|"Yes"|"Clay"|72024958|145640424
"CL"|"No "|"Yes"|"Clay loam"|72024959|145640425
"C"|"No "|"Yes"|"Clay"|72024957|145640422
"CL"|"No "|"No "|"Clay loam"|72024957|145640423
"C"|"No "|"Yes"|"Clay"|72025204|145640940
"CL"|"No "|"No "|"Clay loam"|72025204|145640941
"C"|"No "|"Yes"|"Clay"|72025205|145640942
"CL"|"No "|"Yes"|"Clay loam"|72025206|145640943
"GR-CL"|"No "|"Yes"|"Gravelly clay loam"|72025002|145640493
"C"|"No "|"Yes"|"Clay"|72025000|145640490
"CL"|"No "|"No "|"Clay loam"|72025000|145640491
"C"|"No "|"Yes"|"Clay"|72025001|145640492
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024988|145640473
"C"|"No "|"Yes"|"Clay"|72024987|145640472
"CL"|"No "|"No "|"Clay loam"|72024986|145640470
"C"|"No "|"Yes"|"Clay"|72024986|145640471
"VAR"|"No "|"Yes"|"Variable"|72024989|145640474
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024991|145640478
"MK-FSL"|"No "|"No "|"Mucky fine sandy loam"|72024990|145640475
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024990|145640476
"S"|"No "|"No "|"Sand"|72024990|145640477
"SR- S"|"Yes"|"Yes"|"Stratified sand"|72024992|145640479
"MK-FSL"|"No "|"No "|"Mucky fine sandy loam"|72024993|145640480
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024993|145640481
"S"|"No "|"No "|"Sand"|72024993|145640482
"SR- S"|"Yes"|"Yes"|"Stratified sand"|72024995|145640484
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024994|145640483
"VAR"|"No "|"Yes"|"Variable"|72024996|145640485
"L"|"No "|"No "|"Loam"|72024764|145640016
"CL"|"No "|"No "|"Clay loam"|72024764|145640017
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024764|145640018
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024765|145640019
"C"|"No "|"Yes"|"Clay"|72025104|145640729
"CL"|"No "|"No "|"Clay loam"|72025104|145640730
"CL"|"No "|"Yes"|"Clay loam"|72025105|145640731
"SR- CL"|"Yes"|"Yes"|"Stratified clay loam"|72025106|145640732
"VAR"|"No "|"Yes"|"Variable"|72024487|145639468
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024535|145639569
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024536|145639570
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024533|145639565
"FSL"|"No "|"No "|"Fine sandy loam"|72024533|145639566
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024534|145639567
"FSL"|"No "|"No "|"Fine sandy loam"|72024534|145639568
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024532|145639564
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024946|145640406
"FSL"|"No "|"No "|"Fine sandy loam"|72024947|145640407
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024947|145640408
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024945|145640405
"VAR"|"No "|"Yes"|"Variable"|72024948|145640409
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025198|145640929
"CL"|"No "|"No "|"Clay loam"|72025198|145640930
"L"|"No "|"No "|"Loam"|72025198|145640931
"CL"|"No "|"No "|"Clay loam"|72025199|145640932
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025199|145640933
"L"|"No "|"No "|"Loam"|72025199|145640934
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025200|145640935
"SC"|"No "|"No "|"Sandy clay"|72025175|145640888
"C"|"No "|"No "|"Clay"|72025175|145640889
"CL"|"No "|"Yes"|"Clay loam"|72025175|145640890
"CL"|"No "|"Yes"|"Clay loam"|72025174|145640885
"L"|"No "|"No "|"Loam"|72025174|145640886
"SICL"|"No "|"No "|"Silty clay loam"|72025174|145640887
"C"|"No "|"Yes"|"Clay"|72025176|145640891
"C"|"No "|"No "|"Clay"|72025177|145640892
"SC"|"No "|"Yes"|"Sandy clay"|72025177|145640893
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025172|145640881
"VFSL"|"No "|"No "|"Very fine sandy loam"|72025173|145640882
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025173|145640883
"LFS"|"No "|"No "|"Loamy fine sand"|72025173|145640884
"C"|"No "|"Yes"|"Clay"|72025224|145640982
"SIC"|"No "|"No "|"Silty clay"|72025224|145640983
"C"|"No "|"Yes"|"Clay"|72025225|145640984
"SIC"|"No "|"No "|"Silty clay"|72025225|145640985
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025221|145640977
"CL"|"No "|"Yes"|"Clay loam"|72025223|145640980
"SICL"|"No "|"No "|"Silty clay loam"|72025223|145640981
"CL"|"No "|"Yes"|"Clay loam"|72025222|145640978
"SICL"|"No "|"No "|"Silty clay loam"|72025222|145640979
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025220|145640975
"LS"|"No "|"No "|"Loamy sand"|72025220|145640976
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025128|145640792
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025127|145640791
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025130|145640794
"CL"|"No "|"No "|"Clay loam"|72025130|145640795
"FSL"|"No "|"No "|"Fine sandy loam"|72025130|145640796
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025129|145640793
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024949|145640410
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024950|145640411
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024951|145640412
"CL"|"No "|"No "|"Clay loam"|72024952|145640413
"FSL"|"No "|"No "|"Fine sandy loam"|72024952|145640414
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024952|145640415
"VAR"|"No "|"Yes"|"Variable"|72024953|145640416
"FS"|"No "|"Yes"|"Fine sand"|72024330|145639136
"FS"|"No "|"Yes"|"Fine sand"|72024331|145639137
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024910|145640321
"FSL"|"No "|"No "|"Fine sandy loam"|72024911|145640322
"L"|"No "|"No "|"Loam"|72024911|145640323
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024911|145640324
"FS"|"No "|"Yes"|"Fine sand"|72024637|145639762
"FS"|"No "|"Yes"|"Fine sand"|72024638|145639763
"S"|"No "|"No "|"Sand"|72024638|145639764
"C"|"No "|"Yes"|"Clay"|72025097|145640716
"CL"|"No "|"No "|"Clay loam"|72025097|145640717
"C"|"No "|"Yes"|"Clay"|72025096|145640714
"CL"|"No "|"No "|"Clay loam"|72025096|145640715
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025098|145640718
"BR"|"No "|"Yes"|"Bedrock"|72025095|145640713
"BR"|"No "|"Yes"|"Bedrock"|72024754|145640003
"GR-FSL"|"No "|"Yes"|"Gravelly fine sandy loam"|72024753|145640002
"CL"|"No "|"No "|"Clay loam"|72024752|145640000
"C"|"No "|"Yes"|"Clay"|72024752|145640001
"CL"|"No "|"Yes"|"Clay loam"|72025202|145640938
"BR"|"No "|"Yes"|"Bedrock"|72025203|145640939
"C"|"No "|"Yes"|"Clay"|72025201|145640936
"CL"|"No "|"No "|"Clay loam"|72025201|145640937
"PGR-CL"|"No "|"Yes"|"Paragravelly clay loam"|72024561|145639624
"GR-C"|"No "|"Yes"|"Gravelly clay"|72024562|145639625
"C"|"No "|"No "|"Clay"|72024562|145639626
"BR"|"No "|"Yes"|"Bedrock"|72024560|145639623
"BR"|"No "|"Yes"|"Bedrock"|72024564|145639629
"PGR-CL"|"No "|"Yes"|"Paragravelly clay loam"|72024565|145639630
"C"|"No "|"Yes"|"Clay"|72024563|145639627
"CL"|"No "|"No "|"Clay loam"|72024563|145639628
"C"|"No "|"Yes"|"Clay"|72024755|145640004
"CL"|"No "|"No "|"Clay loam"|72024755|145640005
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024756|145640006
"BR"|"No "|"Yes"|"Bedrock"|72024757|145640007
"VAR"|"No "|"Yes"|"Variable"|72024758|145640008
"SICL"|"No "|"Yes"|"Silty clay loam"|72025207|145640944
